Date,Petrol (USD),Diesel (USD),,,,,,,
01-01-2007,87.85,93.40,,,,,,,
08-01-2007,87.66,93.11,,,,,,,
15-01-2007,87.10,91.55,,,,,,,
22-01-2007,86.28,90.45,,,,,,,
29-01-2007,85.66,89.70,,,,,,,
05-02-2007,85.62,89.63,,,,,,,
12-02-2007,86.12,90.11,,,,,,,
19-02-2007,86.60,90.55,,,,,,,
26-02-2007,87.07,91.02,,,,,,,
05-03-2007,87.74,91.59,,,,,,,
12-03-2007,88.48,92.17,,,,,,,
19-03-2007,88.93,92.61,,,,,,,
26-03-2007,89.32,92.91,,,,,,,
02-04-2007,90.47,93.90,,,,,,,
10-04-2007,91.18,94.33,,,,,,,
16-04-2007,91.99,94.86,,,,,,,
23-04-2007,92.93,95.39,,,,,,,
30-04-2007,93.45,95.71,,,,,,,
07-05-2007,94.43,96.12,,,,,,,
14-05-2007,95.07,96.47,,,,,,,
21-05-2007,95.71,96.69,,,,,,,
28-05-2007,96.16,96.99,,,,,,,
04-06-2007,96.51,97.19,,,,,,,
11-06-2007,96.61,97.20,,,,,,,
18-06-2007,96.56,97.11,,,,,,,
25-06-2007,96.54,97.12,,,,,,,
02-07-2007,96.36,96.89,,,,,,,
09-07-2007,96.20,96.78,,,,,,,
16-07-2007,96.21,96.79,,,,,,,
23-07-2007,96.23,96.83,,,,,,,
30-07-2007,96.20,96.77,,,,,,,
06-08-2007,96.15,96.72,,,,,,,
13-08-2007,96.00,96.70,,,,,,,
20-08-2007,95.31,96.59,,,,,,,
27-08-2007,95.00,96.37,,,,,,,
03-09-2007,94.80,96.37,,,,,,,
10-09-2007,94.63,96.34,,,,,,,
17-09-2007,94.65,96.45,,,,,,,
24-09-2007,94.91,96.90,,,,,,,
01-10-2007,96.39,98.51,,,,,,,
08-10-2007,97.14,99.10,,,,,,,
15-10-2007,97.19,99.18,,,,,,,
22-10-2007,97.81,99.89,,,,,,,
29-10-2007,98.26,100.69,,,,,,,
05-11-2007,99.36,102.16,,,,,,,
12-11-2007,100.74,104.17,,,,,,,
19-11-2007,101.47,105.28,,,,,,,
26-11-2007,102.13,106.25,,,,,,,
03-12-2007,102.58,107.19,,,,,,,
10-12-2007,102.67,107.47,,,,,,,
17-12-2007,102.60,107.56,,,,,,,
24-12-2007,102.53,107.50,,,,,,,
31-12-2007,102.66,107.61,,,,,,,
07-01-2008,103.37,108.29,,,,,,,
14-01-2008,103.82,108.77,,,,,,,
21-01-2008,104.22,109.09,,,,,,,
28-01-2008,104.22,109.11,,,,,,,
04-02-2008,104.03,108.99,,,,,,,
11-02-2008,103.67,108.86,,,,,,,
18-02-2008,103.70,108.99,,,,,,,
25-02-2008,104.65,110.21,,,,,,,
03-03-2008,105.24,110.90,,,,,,,
10-03-2008,105.96,112.23,,,,,,,
17-03-2008,106.41,113.08,,,,,,,
24-03-2008,106.90,114.40,,,,,,,
31-03-2008,107.10,114.79,,,,,,,
07-04-2008,107.24,115.47,,,,,,,
14-04-2008,107.61,116.51,,,,,,,
21-04-2008,108.57,118.06,,,,,,,
28-04-2008,109.50,119.10,,,,,,,
05-05-2008,110.30,120.37,,,,,,,
12-05-2008,111.04,121.49,,,,,,,
19-05-2008,112.96,124.50,,,,,,,
26-05-2008,114.79,127.21,,,,,,,
02-06-2008,116.03,128.82,,,,,,,
09-06-2008,116.86,129.68,,,,,,,
16-06-2008,117.69,130.66,,,,,,,
23-06-2008,118.44,131.45,,,,,,,
30-06-2008,118.84,132.03,,,,,,,
07-07-2008,119.28,132.55,,,,,,,
14-07-2008,119.44,132.87,,,,,,,
21-07-2008,119.40,132.89,,,,,,,
28-07-2008,116.91,130.71,,,,,,,
04-08-2008,115.06,128.19,,,,,,,
11-08-2008,113.92,126.20,,,,,,,
18-08-2008,112.22,124.10,,,,,,,
25-08-2008,112.02,123.74,,,,,,,
01-09-2008,112.20,123.89,,,,,,,
08-09-2008,112.55,124.20,,,,,,,
15-09-2008,112.51,124.14,,,,,,,
22-09-2008,110.81,122.61,,,,,,,
29-09-2008,109.85,121.65,,,,,,,
06-10-2008,109.45,121.14,,,,,,,
13-10-2008,107.04,118.42,,,,,,,
20-10-2008,102.66,114.31,,,,,,,
27-10-2008,98.62,111.01,,,,,,,
03-11-2008,97.40,109.87,,,,,,,
10-11-2008,95.89,109.13,,,,,,,
17-11-2008,94.83,108.73,,,,,,,
24-11-2008,92.79,107.78,,,,,,,
01-12-2008,91.47,106.56,,,,,,,
08-12-2008,90.16,104.87,,,,,,,
15-12-2008,89.07,101.24,,,,,,,
22-12-2008,88.01,99.94,,,,,,,
29-12-2008,87.34,99.17,,,,,,,
05-01-2009,85.42,97.57,,,,,,,
12-01-2009,86.02,98.32,,,,,,,
19-01-2009,86.19,98.45,,,,,,,
